Model,RMSE,MAE,R2,Group,Target
LinearRegression,0.1828,0.1465,0.0852,G1_Rhythmic,valence
ElasticNet,0.1828,0.1465,0.086,G1_Rhythmic,valence
KNN,0.1423,0.0904,0.4462,G1_Rhythmic,valence
KNN_PCA,0.1399,0.0875,0.4645,G1_Rhythmic,valence
RandomForest,0.1139,0.0746,0.6448,G1_Rhythmic,valence
XGBoost,0.1275,0.0919,0.5552,G1_Rhythmic,valence
StackedEnsemble,0.1137,0.075,0.6459,G1_Rhythmic,valence
LinearRegression,0.0915,0.0713,0.4572,G1_Rhythmic,energy
ElasticNet,0.0915,0.0713,0.457,G1_Rhythmic,energy
KNN,0.0744,0.0487,0.6407,G1_Rhythmic,energy
KNN_PCA,0.0752,0.0499,0.6337,G1_Rhythmic,energy
RandomForest,0.0638,0.0409,0.7362,G1_Rhythmic,energy
XGBoost,0.0684,0.0487,0.6965,G1_Rhythmic,energy
StackedEnsemble,0.0628,0.0416,0.7443,G1_Rhythmic,energy
LinearRegression,0.1815,0.1384,0.3957,G2_Classical,valence
ElasticNet,0.1816,0.1385,0.3951,G2_Classical,valence
KNN,0.1669,0.1201,0.4893,G2_Classical,valence
KNN_PCA,0.1694,0.1224,0.4736,G2_Classical,valence
RandomForest,0.151,0.1074,0.5817,G2_Classical,valence
XGBoost,0.1522,0.1094,0.5754,G2_Classical,valence
StackedEnsemble,0.1503,0.1064,0.5859,G2_Classical,valence
LinearRegression,0.0904,0.0667,0.866,G2_Classical,energy
ElasticNet,0.0904,0.0667,0.8659,G2_Classical,energy
KNN,0.0906,0.0653,0.8654,G2_Classical,energy
KNN_PCA,0.1079,0.079,0.8091,G2_Classical,energy
RandomForest,0.0749,0.0506,0.908,G2_Classical,energy
XGBoost,0.0748,0.0518,0.9084,G2_Classical,energy
StackedEnsemble,0.0741,0.051,0.91,G2_Classical,energy
LinearRegression,0.1909,0.156,0.2378,G3_HardRock,valence
ElasticNet,0.1905,0.1558,0.2413,G3_HardRock,valence
KNN,0.1721,0.136,0.381,G3_HardRock,valence
KNN_PCA,0.1704,0.1334,0.3932,G3_HardRock,valence
RandomForest,0.1466,0.1098,0.5506,G3_HardRock,valence
XGBoost,0.1551,0.1212,0.4972,G3_HardRock,valence
StackedEnsemble,0.1484,0.1104,0.5395,G3_HardRock,valence
LinearRegression,0.0968,0.0734,0.6269,G3_HardRock,energy
ElasticNet,0.0968,0.0734,0.6269,G3_HardRock,energy
KNN,0.0882,0.06,0.6905,G3_HardRock,energy
KNN_PCA,0.0935,0.0627,0.6518,G3_HardRock,energy
RandomForest,0.063,0.0427,0.8417,G3_HardRock,energy
XGBoost,0.064,0.0458,0.8367,G3_HardRock,energy
StackedEnsemble,0.0623,0.0427,0.8456,G3_HardRock,energy
